caller_addr,caller_func,call_site_addr,callee_addr,callee_func,call_type
"00112380","FUN_00112380","0011238c","00116c70","FUN_00116c70",direct
"001123a8","FUN_001123a8","001123bc","00114920","FUN_00114920",direct
"001123a8","FUN_001123a8","001123c8","001123a8","FUN_001123a8",tail
"001123a8","FUN_001123a8","001123d0","001123a8","FUN_001123a8",tail
"001123a8","FUN_001123a8","001123ec","001123a8","FUN_001123a8",tail
"001123a8","FUN_001123a8","001123f4","001123a8","FUN_001123a8",tail
"001123a8","FUN_001123a8","00112408","001123a8","FUN_001123a8",tail
"001123a8","FUN_001123a8","0011241c","001123a8","FUN_001123a8",tail
"001123a8","FUN_001123a8","0011243c","001123a8","FUN_001123a8",tail
"001123a8","FUN_001123a8","00112448","001153fc","FUN_001153fc",direct
"00112468","FUN_00112468","00112484","00118e00","FUN_00118e00",direct
"00112468","FUN_00112468","00112494","00112468","FUN_00112468",tail
"00112468","FUN_00112468","001124a0","00112468","FUN_00112468",tail
"001124c0","FUN_001124c0","001124f8","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","0011252c","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","0011253c","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","001125b0","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","001125b8","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","001125c0","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","001125d0","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","001125dc","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","001125ec","00115ce8","FUN_00115ce8",direct
"001124c0","FUN_001124c0","001125f4","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","00112668","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","00112678","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","00112680","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","00112690","001124c0","FUN_001124c0",tail
"001124c0","FUN_001124c0","0011269c","001124c0","FUN_001124c0",tail
"001126d8","FUN_001126d8","00112720","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112740","00115578","FUN_00115578",direct
"001126d8","FUN_001126d8","00112758","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","0011279c","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","001127b8","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","001127c4","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","001127d8","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","001127f0","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","001127f8","00120130","FUN_00120130",direct
"001126d8","FUN_001126d8","00112800","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","0011281c","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112830","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112840","00115ee8","FUN_00115ee8",direct
"001126d8","FUN_001126d8","00112850","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","001128a0","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","001128bc","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","001128dc","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","001128f0","00120180","FUN_00120180",direct
"001126d8","FUN_001126d8","001128f8","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112908","0011fb48","FUN_0011fb48",direct
"001126d8","FUN_001126d8","00112948","0011fba0","FUN_0011fba0",direct
"001126d8","FUN_001126d8","00112958","0011fc08","FUN_0011fc08",direct
"001126d8","FUN_001126d8","00112968","0011fb48","FUN_0011fb48",direct
"001126d8","FUN_001126d8","00112974","00120180","FUN_00120180",direct
"001126d8","FUN_001126d8","00112984","0011fc08","FUN_0011fc08",direct
"001126d8","FUN_001126d8","00112990","0011fb48","FUN_0011fb48",direct
"001126d8","FUN_001126d8","0011299c","00120238","FUN_00120238",direct
"001126d8","FUN_001126d8","001129ac","00120130","FUN_00120130",direct
"001126d8","FUN_001126d8","001129b4","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","001129bc","00120180","FUN_00120180",direct
"001126d8","FUN_001126d8","001129c8","00120130","FUN_00120130",direct
"001126d8","FUN_001126d8","001129e4","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112a00","00120130","FUN_00120130",direct
"001126d8","FUN_001126d8","00112a20","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112a2c","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112a3c","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112a50","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112a84","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112aa8","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112ac0","001126d8","FUN_001126d8",computed
"001126d8","FUN_001126d8","00112ac0","001126d8","FUN_001126d8",computed
"001126d8","FUN_001126d8","00112ac0","001126d8","FUN_001126d8",computed
"001126d8","FUN_001126d8","00112ac0","001126d8","FUN_001126d8",computed
"001126d8","FUN_001126d8","00112ac0","001126d8","FUN_001126d8",computed
"001126d8","FUN_001126d8","00112adc","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112b00","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112b34","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112b60","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112b68","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112b7c","001154d0","FUN_001154d0",direct
"001126d8","FUN_001126d8","00112b8c","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112b94","001126d8","FUN_001126d8",tail
"001126d8","FUN_001126d8","00112ba8","001126d8","FUN_001126d8",tail
