target_addr,from_addr,function_addr,function_name,reference_type,access,mnemonic
"0015f604","001eb254","001eb0a8","FUN_001eb0a8","READ","read","lw v1,-0x9fc(v1)"
"0015f604","001f3eac","001f39d0","FUN_001f39d0","READ","read","lw v1,-0x9fc(v1)"
"0015f604","001f3dd0","001f39d0","FUN_001f39d0","READ","read","lw v0,-0x9fc(v0)"
"0015f604","0022cb2c","0022ca50","FUN_0022ca50","READ","read","lw v1,-0x9fc(v1)"
"0015f604","0022ccbc","0022ca50","FUN_0022ca50","READ","read","lw v1,-0x9fc(v1)"
"0015f604","001edab0","001edaa8","FUN_001edaa8","READ","read","lw v1,-0x9fc(v1)"
"0015f604","001fbac0","001fbab8","FUN_001fbab8","READ","read","lw v1,-0x9fc(v1)"
"0015f604","001fbaf8","001fbab8","FUN_001fbab8","READ","read","lw v1,-0x9fc(v1)"
"0015f604","001fbb1c","001fbab8","FUN_001fbab8","WRITE","write","sw a0,-0x9fc(at)"
"0015f604","001ff32c","001ff308","FUN_001ff308","READ","read","lw a0,-0x9fc(a0)"
"0015f604","001eb4bc","001eb410","FUN_001eb410","READ","read","lw v1,-0x9fc(v1)"
"0015f604","001eb6b0","001eb410","FUN_001eb410","READ","read","lw v1,-0x9fc(v1)"
"0015f604","0022e428","0022e420","FUN_0022e420","READ","read","lw v1,-0x9fc(v1)"
"0015f604","001e9620","001e9488","FUN_001e9488","WRITE","write","sw zero,-0x9fc(at)"
"0015f604","00218ee4","00218d78","FUN_00218d78","WRITE","write","sw v1,-0x9fc(at)"
"0015f604","001fd694","001fce28","FUN_001fce28","WRITE","write","sw v1,-0x9fc(at)"
"0015f604","001fd69c","001fce28","FUN_001fce28","READ","read","lw v0,-0x9fc(v0)"
"0015f604","001fd620","001fce28","FUN_001fce28","WRITE","write","sw a1,-0x9fc(at)"
"0015f604","001fd65c","001fce28","FUN_001fce28","WRITE","write","sw a1,-0x9fc(at)"
"0015f604","001fd0b8","001fce28","FUN_001fce28","WRITE","write","sw zero,-0x9fc(at)"
"0015f604","001fd264","001fce28","FUN_001fce28","WRITE","write","sw zero,-0x9fc(at)"
"0015f604","001fd288","001fce28","FUN_001fce28","WRITE","write","sw zero,-0x9fc(at)"
"0015f604","001fdf18","001fde90","FUN_001fde90","READ","read","lw v0,-0x9fc(v0)"
"0015f604","0022fb4c","0022f778","FUN_0022f778","WRITE","write","_sw zero,-0x75fc(gp)"
"0015f604","00218f84","00218f68","FUN_00218f68","WRITE","write","sw a1,-0x9fc(at)"
"0015f604","0022dfa8","0022df40","FUN_0022df40","READ","read","_lw v1,-0x75fc(gp)"
"0015f604","0022e07c","0022df40","FUN_0022df40","READ","read","lw v0,-0x9fc(v0)"
"0015f604","001ff7fc","001ff780","FUN_001ff780","READ","read","_lw v0,-0x75fc(gp)"
"0015f604","001ff80c","001ff780","FUN_001ff780","READ","read","_lw v0,-0x75fc(gp)"
"0015f604","002327f4","002327a0","FUN_002327a0","READ","read","lw t0,-0x9fc(t0)"
"0015f604","002328c8","002327a0","FUN_002327a0","READ","read","lw v0,-0x9fc(v0)"
"0015f604","0023292c","002327a0","FUN_002327a0","READ","read","lw v1,-0x9fc(v1)"
"0015f604","001ebb0c","001eb798","FUN_001eb798","READ","read","lw v0,-0x9fc(v0)"
"0015f604","00232900","002327a0","FUN_002327a0","READ","read","_lw v1,-0x75fc(gp)"
"0015f604","00232920","002327a0","FUN_002327a0","READ","read","_lw v1,-0x75fc(gp)"
"0015f604","00204858","00204790","FUN_00204790","READ","read","lw v1,-0x9fc(v1)"
"0015f604","00232058","00231ff0","FUN_00231ff0","WRITE","write","sw a0,-0x9fc(at)"
"0015f604","001ed820","001ed7f0","FUN_001ed7f0","READ","read","_lw v0,-0x75fc(gp)"
